	estimation error	validation error
[8, 8]	 6.36%	 6.23%
[8, 16]	45.23%	45.23%
[8, 24]	45.23%	45.23%
[8, 32]	45.23%	45.23%
[16, 16]	45.23%	45.23%
[16, 24]	45.23%	45.23%
[16, 32]	45.23%	45.23%
[24, 24]	45.23%	45.23%
[24, 32]	45.23%	45.23%
[32, 32]	45.23%	45.23%
