	estimation error	validation error
tanh [20, 4]	 1.43%	 1.54%
tanh [20, 8]	 0.44%	 0.49%
tanh [20, 12]	 0.46%	 0.46%
tanh [20, 16]	 0.37%	 0.41%
relu [20, 4]	17.53%	17.59%
relu [20, 8]	18.49%	18.28%
relu [20, 12]	 0.50%	 0.47%
relu [20, 16]	 0.35%	 0.45%
prelu [20, 4]	 0.70%	 0.66%
prelu [20, 8]	19.32%	19.30%
prelu [20, 12]	 0.39%	 0.52%
prelu [20, 16]	 0.34%	 0.39%
