	estimation error	validation error
[18, 18, 14]	 9.38%	 9.26%
[18, 18, 18]	 9.24%	 9.53%
[18, 18, 22]	37.37%	37.24%
[18, 22, 14]	 0.81%	 0.81%
[18, 22, 18]	12.70%	12.17%
[18, 22, 22]	31.50%	31.25%
