	estimation error	validation error
[12, 14]	 0.47%	 0.49%
[12, 16]	 0.39%	 0.44%
[12, 18]	 0.51%	 0.50%
[14, 14]	 0.42%	 0.41%
[14, 16]	 0.47%	 0.49%
[14, 18]	 0.35%	 0.43%
[16, 14]	 0.29%	 0.35%
[16, 16]	 0.37%	 0.41%
[16, 18]	 0.34%	 0.40%
